0000FF
FF0000
FF1AB9
FFFF00
0084F6
00FF46
C18435
00FFD3
4F006A
84002C
008495
EDA7FF
C1E584
B94FFF
9E7B84
FF0061
463E00
00356A
0035C1
95C1FF
FF8D8D
8DD300
A72C00
2CCA61
B0468D
FFB900
7B956A
00E5FF
00462C
848D00
4F1A3E
FF7B12
F6CA9E
8461CA
FF00F6
A7EDCA
00A77B
