0000FF
FF0000
FF1AB9
FFFF00
0084F6
00FF46
C18435
00FFD3
4F006A
84002C
008495
EDA7FF
C1E584
B94FFF
9E7B84
FF0061
463E00
00356A
0035C1
95C1FF
