Line -4.351 53.124
Line -4.578 53.238
Line 0.899 51.357
Line -0.961 50.774
Line -1.283 50.579
Line -2.878 59.229
Line -2.686 59.184
Line -2.824 58.879
Line -3.231 58.776
Line -2.939 58.73
Line -6.474 57.948
Line -6.839 58.202
Line -7.074 57.878
Line -7.204 57.702
Line -7.234 57.504
Line -5.848 57.105
Line -5.971 57.515
Line -6.051 57.324
Line -7.283 57.397
Line -7.215 57.114
Line -5.946 57.278
Line -6.581 57.044
Line -7.467 56.941
Line -6.318 56.934
Line -6.159 56.869
Line -6.678 56.556
Line -6.117 56.65
Line -6.893 56.439
Line -6.199 56.459
Line -5.553 56.378
Line -6.41 56.302
Line -5.623 56.267
Line -5.638 56.187
Line -5.735 56.158
Line -5.972 55.788
Line -6.2 56.028
Line -6.274 55.573
Line -5.023 55.721
Line -5.172 55.429
Line -2.665 51.615
DisplayBus -3.081 56.477
DisplayBusField -3.053 56.478
DisplayBus -4.248 56.797
DisplayBusField -4.177 56.799
DisplayBus -5.076 57.627
DisplayBusField -5.079 57.626
DisplayBus -4.923 57.611
DisplayBusField -4.933 57.61
DisplayTransmissionLine -5.076 57.631
DisplayCircuitBreaker -5.053 57.628
DisplayCircuitBreaker -4.95 57.616
DisplayBranchPie -5.002 57.623
DisplayGen -5.076 57.628
DisplayGenField -5.093 57.629
DisplayGenField -5.091 57.628
DisplayBus -4.41 57.703
DisplayBusField -4.421 57.711
DisplayBus -4.38 57.696
DisplayBusField -4.394 57.697
DisplayTransmissionLine 0 0
DisplayTransmissionLine -4.41 57.707
DisplayCircuitBreaker -4.401 57.705
DisplayCircuitBreaker -4.39 57.702
DisplayBranchPie -4.395 57.703
DisplayBus -4.354 57.698
DisplayBusField -4.358 57.698
DisplayBus -4.369 57.696
DisplayBusField -4.369 57.696
DisplayTransmissionLine -4.354 57.702
DisplayCircuitBreaker -4.367 57.7
DisplayCircuitBreaker -4.356 57.702
DisplayBranchPie -4.361 57.701
DisplayBus -2.518 56.67
DisplayBusField -2.523 56.682
DisplayBus -2.76 56.676
DisplayBusField -2.725 56.677
DisplayTransmissionLine -2.518 56.673
DisplayCircuitBreaker -2.738 56.676
DisplayCircuitBreaker -2.525 56.673
DisplayBranchPie -2.632 56.675
DisplayBus -2.518 56.661
DisplayBusField -2.527 56.66
DisplayBus -2.979 56.647
DisplayBusField -3.001 56.648
DisplayTransmissionLine -2.518 56.663
DisplayCircuitBreaker -2.862 56.648
DisplayCircuitBreaker -2.528 56.664
DisplayBranchPie -2.752 56.67
DisplayGen -4.41 57.708
DisplayGenField -4.403 57.709
DisplayLoad -4.41 57.704
DisplayLoadField -4.431 57.705
DisplayGen -4.354 57.704
DisplayGenField -4.347 57.706
DisplayLoad -2.518 56.675
DisplayLoadField -2.515 56.677
