ABEW10,ERRO10
ABEW10,ERRO10
ABEW10,GRIF1S
ABEW10,GRIF1T
ABHA4A,EXET40
ABHA4A,LAGA40
ABHA4B,EXET40
ABHA4B,LAGA40
ABNE10,BUMU1G
ABNE10,CHAR10
ABTH20,COWT2A
ABTH20,PYLE20
ABTH20,TREM20
ABTH20,UPPB20
ABTH20,UPPB20
AIGA1Q,KIOR1Q
ALDW20,BRIN20
ALDW20,WMEL20
ALNE1Q,MOTA1Q
ALNE1R,MOTA1R
ALVE4A,INDQ40
ALVE4A,TAUN4A
ALVE4B,INDQ40
ALVE4B,TAUN4B
AMEM4A_EPN,AMEM4A_SEP
AMEM4A_EPN,ECLA40_WPD
AMEM4A_EPN,IVER4A
AMEM4B_EPN,AMEM4B_SEP
AMEM4B_EPN,ECLA40_WPD
AMEM4B_EPN,IVER4B
ARBR1Q,DENS1Q
ARBR1R,TEAL10
ARDK10,INVE10
ARDK10,SLOY1T
ARDR2Q,BEAU20
ARDR2Q,STRB20
AREC10,MAHI10
ARMO10,DUGR1Q
AUCH20,MAHI20
AUCW10,HADH10
AUCW10,MAYB10
AXMI40_SEP,AXMI40_WPD
AXMI40_SEP,CHIC40
AXMI40_SEP,EXET40
AYRR2Q,COYW2S
AYRR2R,COYW2T
BAGA1Q,BONN10
BAGA1Q,DRCR1Q
BAGA1R,BONN10
BAGA1R,DRCR1R
BAGB20,MAGA20
BAGB20,SWAN20_SPM
BAIN10,BONN10
BAIN10,BONN10
BARK20_EPN,BARK20_LPN
BARK20_EPN,REBR20
BARK20_EPN,REBR20
BARK40,BARK20_EPN
BARK40,BARK20_EPN
BARK40,WHAM40
BARK40,WHAM40
BARK40,WTHU4A
BARK40,WTHU4B
BEAU10,CULL1Q
BEAU10,FAAR1Q
BEAU10,FAAR1R
BEAU10,FASN10
BEAU10,FASN10
BEAU10,INNE1Q
BEAU10,INNE1R
BEAU10,KIOR1Q
BEAU10,MOTA1Q
BEAU10,MOTA1R
BEAU10,ORRI1Q
BEAU10,ORRI1R
BEAU20,BEAU10
BEAU20,BEAU10
BEAU20,BEAU10
BEAU20,KNOC20
BEAU20,KNOC20
BEAU20,STRW20
BEDD20_LPN,BEDD20_SPN
BEDD20_LPN,CHSI20
BEDD20_LPN,CHSI20
BEDD20_LPN,WIMB20
BEDD20_LPN,WIMB20
BEDD4A,BEDD20_LPN
BEDD4A,BEDD20_LPN
BEDD4A,ROWD42
BEDD4B,BEDD20_LPN
BEDD4B,BEDD20_LPN
BEDD4B,ROWD41
BERW1Q,ECCL10
BERW1R,ECCL10
BESW20,COVE20
BESW20,COVE20
BESW20,FECK20
BESW20,OCKH20
BICF4A,SPLN40
BICF4A,WBUR40
BICF4B,WALP40_EME
BICF4B,WBUR40
BIRK20,CAPE20
BIRK20,CAPE20
BIRK20,LISD2A
BISW20,FECK20
BISW20,KITW20
BISW20,KITW20
BISW20,PENN20
BLAC10,DUNH1Q
BLAC10,DUNH1R
BLAC10,GLGL10
BLAC10,GLGL10
BLHI20,DAAS20
BLHI20,KEIT20
BLHI20,KINT20
BLHI20,KINT20
BLHI20,PEHE20
BLLA10,WISH10
BLYT20,STEW20
BLYT20,STEW20
BLYT20,TYNE20
BLYT20,TYNE2A
BLYT4A,BLYT20
BLYT4A,HEDD4A
BLYT4B,BLYT20
BLYT4B,HEDD4B
BOAG1Q,FAAR1Q
BOAG1Q,GLFA10
BOAG1R,FAAR1R
BODE40,BODE20
BOLN40,LOVE40
BOLN40,LOVE40
BOLN40,NINF40
BOLN40,NINF40
BONB1Q,BONN10
BONB1Q,BRAC1Q
BONB1R,BONN10
BONB1R,BRAC1R
BONN10,CUMB1Q
BONN10,CUMB1R
BONN20,BONN10
BONN20,BONN10
BONN20,LAMB20
BONN20,LOAN20
BOTW40,FAWL40
BOTW40,LOVE40
BRAC1Q,ERRO10
BRAC1R,ERRO10
BRAE1G,BRAP10
BRAE1G,GOVA1R
BRAE1P,GOVA1Q
BRAE1P,PAIS1Q
BRAI4A,BRFO40
BRAI4A,RAYL40
BRAI4B,PELH40
BRAI4B,RAYL40
BRAP10,ERSK1Q
BRAP10,ERSK1R
BRAP10,PAIS1R
BRAW20,ELLA20
BRAW20,KIRK20
BRAW20,MONF20
BRAW4A,BRAW20
BRAW4A,PADI40
BREC10,BRID1Q
BREC10,BRID1R
BREC10,DENS1Q
BREC10,FIDD1B
BRED20,MACC20
BRED20,SMAN20
BRED20,STAL20
BRFO40,NORM40
BRFO40,NORM40
BRFO40,PELH40
BRFO40,SIZE40
BRFO40,SIZE40
BRFO40,SIZE40
BRFO40,SIZE40
BRIM2A_EPN,BRIM2A_LPN
BRIM2A_EPN,TOTE20
BRIM2A_EPN,WALX20
BRIM2B_EPN,BRIM2B_LPN
BRIM2B_EPN,TOTW20
BRIM2B_EPN,WALX20
BRIM2C_EPN,BRIM2C_LPN
BRIM2C_EPN,TOTE20
BRIM2C_EPN,WALX20
BRIM2D,TOTW20
BRIM2D,WALX20
BRIN20,CHTE20
BRIN20,CHTE20
BRIN20,JORD20
BRIN20,NORL2A
BRIN20,TEMP20
BRIN20,TEMP20
BRIN20,THUR20
BRIN20,TINP2A
BRIN20,TINP2B
BRIN40,BRIN20
BRIN40,BRIN20
BRIN40,THOM40
BRIN40,THOM40
BRLE40,DIDC40
BRLE40,DIDC40
BRLE40,FLEE40
BRLE40,FLEE40
BRLE40,MELK40_SEP
BRLE40,MELK40_SEP
BRLE40,WWEY4A
BRLE40,WWEY4B
BROA1Q,EDIN10
BROA1Q,QUOI1Q
BROR10,BROR1Q
BROR1Q,DUBE1Q
BROR1Q,SHIN10
BROX1Q,CURR10
BROX1R,CURR10
BUMU10,CHAR10
BUMU1E,BUMU1F
BUMU1F,GRIF1S
BUMU1G,BUMU1H
BUMU1H,GRIF1T
BUMU10,BUMU1E
BURW40,PELH40
BURW40,PELH40
BURW40,WALP40_EME
BURW40,WALP40_EME
BUSB20,GIFF2Q
BUSB20,GIFF2R
BUSB20,NEIL20
BUSB20,STHA2A
BUSH20,DRAK20
BUSH20,PENN20
BUSH20,WIEN2B
BUST20,DRAK20
BUST20,DRAK20
BUST20,NECH20
BUST20,NECH20
CAAD1Q,PORA1Q
CAAD1R,PORA1R
CAFA1Q,KEOO10
CANT40,SELL40
CANT40,SELL40
CAPE4A,CAPE20
CAPE4A,DEES40
CAPE4A,FROD40
CAPE4B,CAPE20
CAPE4B,DEES40
CAPE4B,FROD40
CARE20,COWT2A
CARE20,USKM2B
CARR20,SMAN20
CARR20,SMAN20
CARR40,DAIN40
CARR40,KEAR40
CARR4A,CARR20
CARR4A,DAIN40
CARR4B,CARR20
CARR4B,DAIN40
CARR4H,PEWO40
CASS1Q,LAIR1Q
CATY1Q,DALM10
CATY1R,DALM10
CEAN1Q,MILW1S
CELL40_WPD,CELL40_SPM
CELL40_WPD,DAIN40
CELL40_WPD,DRAK40
CELL40_WPD,DRAK40
CELL40_WPD,MACC40
CHAP10,DUMF10
CHAP10,DUMF10
CHAP10,ECCF1J
CHAP10,ECCF1K
CHAP10,GRNA10
CHAP10,GRNA10
CHAP10,HAKB10
CHAR10,BIHI1Q
CHAR10,BIHI1R
CHAR10,GLAG1Q
CHAR10,GLAG1R
CHAR10,LYND1Q
CHAR10,LYND1R
CHAS2Q,DALM2Q
CHAS2R,DALM2R
CHIC40,EXET40
CHIC40,MANN40
CHIC40,MANN40
CHSI20,WWEY20
CHSI20,WWEY20
CHTE20,HIGM20
CHTE20,HIGM20
CILF2A,UPPB20
CILF2B,UPPB20
CILF40,CILF2A
CILF40,CILF2B
CILF40,IMPP40
CILF40,RASS40
CILF40,SWAN40
CILF40,SWAN40
CILF40,SWAN40
CILF40,WHSO4A
CITR41,CITR42
CITR41,CITR42
CITR41,SJOW40
CITR41,SJOW40
CITR41,WHAM4A
CITR42,WHAM4B
CLAC1Q,INVE10
CLAC1Q,SLOY10
CLAY1S,REDM1Q
CLAY1S,WIOW1Q
CLAY1T,REDM1R
CLEH40,CANT40
CLEH40,KEMS4B
CLUN1S,COUA10
CLUN1S,ERRO10
CLUN1T,COUA10
CLUN1T,ERRO10
CLYM20,DALM2Q
CLYM20,DALM2R
CLYM20,EERH20
CLYM20,EKIL2Q
CLYM20,EKIL2R
CLYM20,LOAN20
COAL10,LINM1Q
COAL10,LINM1R
COAL40,COAL10
COAL40,COAL10
COAL40,STHA40
COAT2Q,NEAR20
COAT2R,NEAR20
COCK20,KAIM20
COCK20,SMEA20
COCK4Q,COCK20
COCK4Q,ECCL40
COCK4R,COCK20
COCK4R,ECCL40
CONQ40,DAIN40
CORI10,LUIC1Q
CORI10,LUIC1R
CORI10,MOSS1S
CORI10,MOSS1T
COSO40,RAYL40
COSO40,TILB4B
COTT40,EASO40
COTT40,EASO40
COTT40,GREN40_EPN
COTT40,KEAD4C
COTT40,KEAD4D
COTT40,STAY40
COTT40,STAY40
COTT40,WBUR40
COUA10,BIHI1Q
COUA10,BIHI1R
COVE20,NECH20
COVE20,RATS2A
COWL40,CULJ4A
COWL40,DIDC40
COWL40,ECLA40_WPD
COWL40,LEIB4A
COWL40,MITY40
COWL40,WALH40
COWT2A,PYLE20
COYL10,COYT1T
COYL20,COYL10
COYL20,COYL10
COYL20,COYW2S
COYL20,COYW2T
COYL20,MAHI20
COYL20,NECU20
COYL20,NECU20
COYT1T,KILS10
COYT1T,MAYB10
COYW2S,KILS20
COYW2T,KILS20
CRAI10,FOGG1Q
CRAI10,FOGG1R
CRAI10,KINT10
CRAI10,KINT10
CRAI10,REDM1Q
CRAI10,REDM1R
CRAI10,WOHI1Q
CRAI10,WOHI1R
CREB2A,HEDN20
CREB2B,SAEN20
CREB40,CREB2A
CREB40,CREB2A
CREB40,CREB2B
CREB40,CREB2B
CREB40,GART4A
CREB40,GART4B
CREB40,THTO40
CREB40,THTO40
CROO1Q,NEIL1Q
CROO1R,NEIL10
CRUA20,DALL20
CRUA20,DALL20
CRYR40,CRYR10
CRYR40,FALL40
CRYR40,TORN40
CULJ4A,DIDC40
CULL1Q,DEAN1Q
CUPA1Q,LEVT1Q
CUPA1R,LEVT1R
CURR20,CURR10
CURR20,CURR10
CURR20,GRMO20
CURR20,KAIM20
CURR20,KINC20
CURR20,SIGH2Q
CURR20,SIGH2R
CURR20,SMEA20
DAIN40,CARR4H
DAIN40,DEES40
DAIN40,MACC40
DALL20,INVR20
DALL20,WIYH20
DALM10,DALM2Q
DALM10,DALM2R
DALM10,SANX1Q
DALM10,SANX1R
DEES40,CONQ40
DEES40,GWYN40
DEES40,GWYN40
DEES40,TREU4A
DEES40,TREU4B
DENS1Q,TEAL10
DEVM10,ERSK1Q
DEVM10,SPAV1Q
DEVM10,SPAV1R
DEVM40,DEVM10
DEVM40,DEVM10
DEVM40,INKI40
DEVM40,WIYH4Q
DEVO10,STIR1Q
DEVO10,WFIE1B
DEWP2Q,WHHO2R
DEWP2R,WHHO2Q
DINO40,PENT40
DINO40,PENT40
DOUN20,STRW20
DOUN10,THSO1Q
DOUN10,THSO1R
DOUN20,DOUN10
DOUN20,GORW20
DRAK40,DRAK20
DRAK40,DRAK20
DRAK40,HAMH40_WPD
DRAK40,OLDB4A
DRAK40,RATS40
DRAK40,RUGE40
DRAK40,WILE40
DRAX40,EGGB40
DRAX40,EGGB40
DRAX40,FENW4A
DRAX40,THOM40
DRAX40,THTO40
DRAX40,THTO40
DRUM2Q,WIYH20
DRUM2R,WIYH20
DUBE1Q,MYBS1R
DUDH1Q,GLAG1Q
DUDH1Q,MILC10
DUDH1R,GLAG1R
DUDH1R,MILC10
DUGR1Q,EDIN10
DUMF10,TONG1Q
DUNB1Q,INWI1Q
DUNB1R,INWI1R
DUNE10,GALA10
DUNE10,SMEA10
DUNF1Q,INKE1Q
DUNF1Q,MOSM10
DUNF1R,INKE1R
DUNF1R,MOSM10
DUNG40,DUNG20
DUNG40,DUNG20
DUNG40,NINF40
DUNG40,NINF40
DUNG40,SELL40
DUNG40,SELL40
DUNH1Q,NECU10
DUNH1R,NECU10
DUNO1Q,WHTB1T
DUNO1R,WHTB1S
DYCE1Q,KINT10
DYCE1R,KINT10
EALI20,LALE20_SEP
EALI20,LALE20_SEP
EALI20,WISD2A
EASO40,WYMO40
EASO40,WYMO40
EAST1Q,GLLE10
ECCL10,GALA10
ECCL10,GALA10
ECCL40,ECCL10
ECCL40,ECCL10
ECCL40,STWB4A
ECCL40,STWB4B
ECCL40,TORN40
ECCL40,TORN40
ECLA40_WPD,ECLA40_EME
ECLA40_WPD,LEIB4B
ECLA40_WPD,PAFB4A
ECLA40_WPD,PAFB4B
EERH20,LOAN20
EERH20,NEAR20
EGGB40,FERR4A
EGGB40,MONF40
EGGB40,MONF4A
EGGB40,ROCH4A
EGGB40,STSB40
EGGB40,THOM40
EKIL2Q,EKIL2S
EKIL2Q,STHA2A
EKIL2R,EKIL2T
EKIL2R,STHA2B
EKIS20,NEIL20
EKIS20,STHA2B
EKIS20,WLEE20
EKIS20,WLEX20
ELDE1Q,JOHN1Q
ELDE1Q,NEIL10
ELDE1R,JOHN1R
ELDE1R,NEIL10
ELGI1Q,KEIT10
ELGI1Q,NAIR10
ELGI1R,KEIT10
ELGI1R,NAIR10
ELLA20,FERR20
ELLA20,KIRK20
ELLA20,STAL20
ELST20,MILH2A_EPN
ELST20,MILH2B_EPN
ELST20,WARL20
ELST20,WARL20
ELST20,WATS20
ELST20,WATS20
ELST40,ELST20
ELST40,ELST4A
ELST40,SJOW40
ELST4A,SUND40
ELST4B,ELST20
ELST4B,SUND40
ELVA2Q,CLYN2Q
ELVA2Q,ELVA40
ELVA2R,CLYS2R
ELVA2R,ELVA40
ELVA40,COAL40
ELVA40,GRNA40
ELVA40,MOFF40
ELVA40,STHA40
ENDE40,PAFB4A
ENDE40,PAFB4B
ENDE40,RATS40
ENDE40,RATS40
ERRO10,ERRO1A
ERRO10,ERRO1B
ERRO10,TUMB1Q
ERRO10,TUMB1R
ERRO1A,FAUG10
ERRO1B,FAUG10
ERRO1T,ERRO10
ERRO1T,KIIN10
ESST1Q,PART1Q
ESST1Q,PART1R
ESST1Q,WIYH10
ESST1Q,WIYH10
