INKE1Q,6
INKE1R,6
INKI40,6
INNE1Q,8
INNE1R,9
INRU1Q,19
INRU1R,19
INVE10,24
INVR10,31
INVR20,13
INWI1Q,6
INWI1R,6
IROA20_AQUL,6
IROA20_SWEB,6
IRON40,7
IVER20,2
IVER2A,2
IVER4A,2
IVER4B,2
JOHN1Q,6
JOHN1R,6
JORD20,5
JUNA1T,6
KAIM20,15
KEAD40,5
KEAD4A,5
KEAD4B,5
KEAD4C,5
KEAD4D,5
KEAR20,6
KEAR40,6
KEAR4A,4
KEIT10,9
KEIT20,8
KEMS40,25
KEOO10,32
KIBY20,21
KIER1Q,31
KIER1R,31
KIIN10,31
KILB1Q,31
KILB1R,31
KILC1Q,24
KILL40,5
KILO10,35
KILS20,34
KILS40,6
KILT2Q,6
KILT2R,6
KILW10,6
KINB40,6
KINC20,6
KINO40,25
KINT10,14
KINT20,8
KIRK20,18
KIRK2A,18
KITW20,7
KNAR20,6
LACK20,16
LACK2A,16
LACK2B,16
LACK2C,16
LACK40,16
LAGG1Q,27
LAIR1Q,6
LALE20_SEP,2
LALE20_SPN,2
LAMB20,6
LAMB2T,6
LAND40,28
LANG40,28
LEGA40,26
LEGA4A,26
LEGA4B,26
LEIB4A,2
LEIB4B,2
LEVE1Q,11
LEVE1R,11
LEVT1Q,11
LEVT1R,11
LING1Q,6
LING1R,6
LINM1Q,6
LINM1R,6
LISD20,21
LISD2A,6
LITT2A,25
LITT2B,25
LITT40,25
LITT4A,25
LITT4B,25
LOAN20,6
LOAN2Q,6
LOAN2R,6
LOCH10,31
LOCL1Q,27
LOCL1R,27
LOCN1Q,24
LOVE40,12
LUIC1Q,9
LUIC1R,9
LUMB1Q,19
LUMB1R,19
LUNA1Q,6
LUNA1R,6
LYND1Q,6
LYND1R,6
MACC20,6
MACC40,4
MACD1Q,9
MAGA20,23
MAHI20,34
MANN40,28
MAWO40,12
MAYB10,6
MAYT1T,32
MELK2A,6
MELK2B,6
MELK40_SEP,6
MILC10,6
MILH2A_EPN,2
MILH2A_LPN,6
MILH2B_EPN,2
MILH2B_LPN,6
MILW1S,27
MITY40,6
MONF20,18
MONF40,18
MONF4A,18
MOSM10,6
MOSM20,6
MOSM2Q,6
MOSM2T,6
MOSS1S,9
MOSS1T,9
MOTA1Q,33
MOTA1R,33
MYBS1Q,33
MYBS1R,33
NAIR10,9
NECH20,7
NEEP20,5
NEEP4A,5
NEIL10,6
NEIL1C,6
NEIL20,6
NEIL2C,6
NEIL4Q,6
NETS10,6
NEWX20,25
NFLE40,25
NHYD2A,2
NHYD2B,2
NINF40,12
NORL2A,5
NORL2B,5
NORT20,16
NORT40,16
NORW40,17
NURS40,12
NURS4A,6
OCKH20,7
OCKH2A,7
OFFE20,16
OLDB20,7
OLDB4A,7
ORRI1T,9
ORRI1S,9
OSBA40,16
PADI40,18
PAFB4A,2
PAFB4B,2
PAIS1Q,6
PAIS1R,10
PAIS1S,6
PAIS1T,10
PART1Q,31
PART1R,31
PEHE10,19
PEHE20,8
PEHG1Q,6
PEHG1R,6
PELH40,17
PEMB40,22
PENN20,7
PENN4A,7
PENN4B,7
PENT40,26
PERS1R,8
PERS20,8
PEWO21,21
PEWO22,21
PEWO2A,21
PEWO2B,21
PEWO40,4
PITS20,5
POOB2Q,6
POOB2R,6
POPP20,6
PORA1Q,24
PORA1R,24
PORD2Q,6
PORD2R,6
PYLE20,23
QUER4A,4
QUER4B,4
QUOI1Q,27
RAIN20,21
RANN1Q,6
RANN1R,6
RASS40,6
RATS2A,6
RATS40,5
RAVE2Q,6
RAVE2R,6
RAYL40,17
REBR20,6
REDH10,11
REDM1Q,14
REDM1R,14
ROCH20,18
ROCH4A,18
ROCK40,20
ROWD40,25
RUGE40,7
RYEH40,17
RYEH4A,17
SACO1Q,6
SACO1R,6
SAEN20,5
SAES20,5
SALH20,16
SEAB40,28
SELL40,25
SFEG1Q,19
SFEG1R,19
SFEM1Q,6
SFEM1R,6
SFER10,19
SFIL1Q,31
SHBA40,5
SHEC20,5
SHIN10,33
SHRE4A,26
SHRU2Q,6
SHRU2R,6
SIGH2Q,6
SIGH2R,6
SING40,25
SIZE40,17
SJOW20,17
SJOW2A,1
SJOW2B,1
SJOW40,1
SKLG20,18
SLOY10,31
SLOY1T,31
SMAN20,6
SMEA10,6
SMEA20,15
SMEA4R,15
SPAV1Q,10
SPAV1R,10
SPEN40,15
SPLN40,17
SSHI20,16
STAH4A,4
STAH4B,4
STAL20,18
STAL4A,18
STAY40,5
STAY4A,5
STEW20,16
STEW2A,16
STEW4A,15
STEW4B,15
STHA20,6
STHA40,3
STIR1Q,6
STIR1R,6
STIR1S,6
STIR1T,6
STLE10,31
STRB20,33
STRI1Q,6
STRI1R,6
STSB40,18
STSB4A,4
STWB4A,15
STWB4B,15
SUND40,2
SWAN20_SPM,22
SWAN20_SWA,22
SWAN40,22
SWAN4A,22
SWAN4B,22
TARL1Q,6
TARL1R,6
TAUN4A,28
TAUN4B,28
TAYN1Q,6
TAYN1R,6
TEAL10,6
TEAL20,8
TELR1Q,6
TELR1R,6
TEMP20,5
THOM20,5
THOM40,18
THSO1Q,33
THSO1R,33
THTO40,16
THUR20,5
THUR2A,5
TILB20,25
TILB4A,25
TINP2A,5
TINP2B,5
TODP20,16
TONG10,32
TONG1Q,32
TORN10,6
TORN40,15
TOTE20,6
TOTW20,17
TRAW20,26
TRAW40,26
TREM20,6
TREU4A,26
TREU4B,26
TUMB1Q,29
TUMB1R,29
TYNE20,16
TYNE2A,16
UPPB20,23
USKM2A,6
USKM2B,23
USKM2C,6
USKM2D,6
USKM2E,6
WALH40,6
WALP40_EME,17
WALP40_EPN,17
WALX20,17
WALX4A,17
WALX4B,17
WARL20,25
WASF2A,21
WASF2B,21
WATS20,2
WBOL20,16
WBUR40,5
WEAV4A,6
WEAV4B,6
WFIB20,6
WFIE10,11
WFIE20,6
WGEO2Q,6
WGEO2R,6
WHAM40,25
WHAM4A,25
WHAM4B,25
WHGA20,6
WHHO2Q,6
WHHO2R,6
WHSO20,23
WHSO2A,6
WHSO2B,6
WHSO4A,23
WHTB1S,31
WHTB1T,31
WHTL1S,31
WHTL1T,31
WIBA20,5
WIEN2A,6
WIEN2B,7
WILE20,6
WILE40,6
WIMB20,1
WIOW1Q,8
WIOW1R,8
WISD20_EPN,1
WISD20_LPN,1
WISD2A,1
WISD2B,1
WISH20,6
WIYH10,31
WIYH20,13
WIYH4Q,6
WMEL20,5
WOHI1Q,8
WOHI1R,8
WWEY20,2
WWEY2A,2
WWEY4A,2
WWEY4B,2
WYLF40,26
WYMO40,2
YGAR4A,26
YWER4A,26
TILB40,25
WTHU4A,25
WTHU4B,25
HACK40,17
BLYT4A,16
BLYT4B,16
STEW4C,15
STEW4D,15
COAL40,3
GARB1S,31
GRNA40,3
HAKB4B,3
COAL10,6
CHAS2R,6
CHAS2Q,6
DALM10,6
SANX1Q,6
SANX1R,6
CATY1Q,6
CATY1R,6
GLRB20,6
MOSS1Q,9
ORRI1R,9
ORRI1Q,9
ANSU10,24
CRYR40,15
GLDO1G,27
GORW20,33
GRIF1S,29
GRIF1T,29
ABNE10,29
BEAU10,9
BEAU20,27
FOYE20,8
ERRO1T,6
INVB20,6
KNOC20,8
KNOC10,8
BEAU40,27
FAUG40,27
FAUG20,27
TUMB20,27
DENN40,27
DENN20,6
PEHE40,8
ROTI400,8
KINT40,8
BLHI40,8
ALYT40,8
KINC40,6
BONN40,6
WISH40,15
NEAR20,6
BRNX40,15
WIMB40,1
Connection_bus40,25
TOTT40,17
BRIM40,17
